Dataset name: Old World Drought Atlas
Dataset details: owda v.1_0_0 pdsi jja
Method(s): ['OWDA']
Lat/lon or region: 42.75 degN 21.25 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/19419
New reference period: none
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: Palmer Drought Severity Index (PDSI)
---
Year (CE),OWDA mean (PDSI)
1092.00,-0.62
1093.00,-0.42
1094.00,-1.32
1095.00,-0.38
1096.00,-0.57
1097.00,-0.99
1098.00,-2.07
1099.00,-1.57
1100.00,0.99
1101.00,0.08
1102.00,1.31
1103.00,1.21
1104.00,-2.46
1105.00,-3.64
1106.00,-1.15
1107.00,1.25
1108.00,0.99
1109.00,1.90
1110.00,0.09
1111.00,0.10
1112.00,-0.12
1113.00,0.39
1114.00,-1.19
1115.00,-0.09
1116.00,0.46
1117.00,1.14
1118.00,-0.23
1119.00,-1.12
1120.00,-0.25
1121.00,-0.96
1122.00,-1.39
1123.00,-1.63
1124.00,-1.37
1125.00,0.28
1126.00,1.87
1127.00,0.80
1128.00,2.07
1129.00,2.00
1130.00,-0.98
1131.00,-0.92
1132.00,-1.09
1133.00,-1.03
1134.00,0.39
1135.00,1.99
1136.00,-1.36
1137.00,-0.57
1138.00,-1.32
1139.00,0.69
1140.00,0.24
1141.00,0.41
1142.00,0.42
1143.00,1.50
1144.00,3.87
1145.00,3.07
1146.00,8.02
1147.00,1.97
1148.00,2.04
1149.00,2.53
1150.00,4.46
1151.00,4.17
1152.00,3.56
1153.00,0.59
1154.00,2.38
1155.00,1.74
1156.00,1.54
1157.00,0.84
1158.00,0.91
1159.00,0.41
1160.00,0.01
1161.00,-1.99
1162.00,1.34
1163.00,2.04
1164.00,0.63
1165.00,1.15
1166.00,2.43
1167.00,1.39
1168.00,0.85
1169.00,-1.02
1170.00,1.30
1171.00,1.78
1172.00,-0.05
1173.00,0.93
1174.00,0.52
1175.00,0.88
1176.00,0.87
1177.00,-0.50
1178.00,-1.25
1179.00,1.01
1180.00,2.68
1181.00,2.41
1182.00,3.99
1183.00,1.41
1184.00,1.92
1185.00,1.17
1186.00,-0.28
1187.00,2.74
1188.00,2.00
1189.00,2.68
1190.00,1.28
1191.00,1.11
1192.00,3.40
1193.00,4.53
1194.00,2.59
1195.00,4.30
1196.00,4.35
1197.00,2.76
1198.00,3.04
1199.00,3.68
1200.00,0.96
1201.00,2.65
1202.00,0.48
1203.00,3.18
1204.00,0.85
1205.00,-1.52
1206.00,1.15
1207.00,1.63
1208.00,-1.26
1209.00,-1.09
1210.00,-1.72
1211.00,-0.69
1212.00,1.03
1213.00,-0.99
1214.00,0.09
1215.00,1.80
1216.00,1.90
1217.00,-0.45
1218.00,-0.89
1219.00,0.29
1220.00,0.25
1221.00,-0.38
1222.00,0.35
1223.00,-0.76
1224.00,-2.06
1225.00,-0.58
1226.00,0.01
1227.00,2.87
1228.00,0.16
1229.00,-2.65
1230.00,2.15
1231.00,3.43
1232.00,1.78
1233.00,2.37
1234.00,3.81
1235.00,3.25
1236.00,4.64
1237.00,-0.01
1238.00,-1.43
1239.00,-1.51
1240.00,-0.11
1241.00,2.27
1242.00,1.34
1243.00,1.40
1244.00,1.45
1245.00,0.01
1246.00,-1.15
1247.00,2.91
