Country_ID,Country_Name,Country_Name_Legacy,Region,UN_Region,Annex I,Collection,Collection_for_website
757,Switzerland-Liechtenstein,SWITZERLAND,Europe,"Europe, Western",TRUE,Switzerland,
760,Syrian Arab Republic,SYRIAN ARAB REPUBLIC,Middle East,"Asia, Western",FALSE,,
762,Tajikistan,TAJIKISTAN,Commonwealth of Independent States,"Asia, Central",FALSE,Soviet Union,Soviet Union
764,Thailand,THAILAND,Asia Pacific,"Asia, South-eastern",FALSE,,
768,Togo,TOGO,Africa,"Africa, Western",FALSE,,
772,Tokelau,NA,Asia Pacific,Polynesia,FALSE,,
776,Tonga,TONGA,Asia Pacific,Polynesia,FALSE,,
780,Trinidad and Tobago,TRINIDAD AND TOBAGO,South and Central America,Caribbean,FALSE,,
784,United Arab Emirates,UNITED ARAB EMIRATES,Middle East,"Asia, Western",FALSE,,
788,Tunisia,TUNISIA,Africa,"Africa, Northern",FALSE,,
792,Türkiye,TURKEY,Europe,"Asia, Western",TRUE,,
795,Turkmenistan,TURKMENISTAN,Commonwealth of Independent States,"Asia, Central",FALSE,Soviet Union,Soviet Union
796,Turks and Caicos Islands,TURKS AND CAICOS ISLANDS,South and Central America,Caribbean,FALSE,,
798,Tuvalu,TUVALU,Asia Pacific,Polynesia,FALSE,,
800,Uganda,UGANDA,Africa,"Africa, Eastern",FALSE,,
804,Ukraine,UKRAINE,Europe,"Europe, Eastern",TRUE,Soviet Union,Soviet Union
807,The former Yugoslav Republic of Macedonia,MACEDONIA,Europe,"Europe, Southern",FALSE,Yugoslavia,Yugoslavia
810,Union of Soviet Socialist Republics [former],USSR,USSR,"Europe, Eastern",FALSE,Soviet Union,Soviet Union
818,Egypt,EGYPT,Africa,"Africa, Northern",FALSE,,
826,United Kingdom,UNITED KINGDOM,Europe,"Europe, Northern",TRUE,,
831,Guernsey,GUERNSEY,Europe,"Europe, Northern",FALSE,,
832,Jersey,JERSEY,Europe,"Europe, Northern",FALSE,,
833,Isle of Man,ISLE OF MAN,Europe,"Europe, Northern",FALSE,,
834,United Republic of Tanzania,UNITED REPUBLIC OF TANZANIA,Africa,"Africa, Eastern",FALSE,Zanibar,Zanibar
835,Tanganyika,TANGANYIKA,Africa,"Africa, Eastern",FALSE,Zanibar,Zanibar
836,Zanzibar,ZANZIBAR,Africa,"Africa, Eastern",FALSE,Zanibar,Zanibar
840,United States,UNITED STATES OF AMERICA,North America,"America, Northern",TRUE,United States,United States
850,United States Virgin Islands,U.S. VIRGIN ISLANDS,South and Central America,Caribbean,FALSE,United States,
854,Burkina Faso,BURKINA FASO,Africa,"Africa, Western",FALSE,French West Africa,French West Africa
858,Uruguay,URUGUAY,South and Central America,"America, South",FALSE,,
860,Uzbekistan,UZBEKISTAN,Commonwealth of Independent States,"Asia, Central",FALSE,Soviet Union,Soviet Union
862,Venezuela (Bolivarian Republic of),VENEZUELA,South and Central America,"America, South",FALSE,,
866,"Viet Nam, Democratic Republic of",DEMOCRATIC REPUBLIC OF VIETNAM,Asia Pacific,"Asia, South-eastern",FALSE,French Indo-China,French Indo-China
868,"South Viet-Nam, Republic of",REPUBLIC OF SOUTH VIETNAM,Asia Pacific,"Asia, South-eastern",FALSE,French Indo-China,French Indo-China
876,Wallis and Futuna Islands,WALLIS AND FUTUNA ISLANDS,Asia Pacific,Polynesia,FALSE,,
882,Samoa,SAMOA,Asia Pacific,Polynesia,FALSE,,
886,Yemen Arab Republic [former],FORMER YEMEN,Middle East,"Asia, Western",FALSE,Yemen,Yemen
887,Yemen,YEMEN,Middle East,"Asia, Western",FALSE,Yemen,Yemen
890,Yugoslavia [former Socialist Federal Republic],YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC),Europe,"Europe, Southern",FALSE,Yugoslavia,Yugoslavia
891,Serbia and Montenegro,YUGOSLAVIA (MONTENEGRO & SERBIA),Europe,"Europe, Southern",FALSE,Yugoslavia,Yugoslavia
894,Zambia,ZAMBIA,Africa,"Africa, Eastern",FALSE,Rhodesia-Nyasaland,Rhodesia-Nyasaland
